key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
noImageFoundInClipboard,No image found in clipboard,No se encontró imagen en el portapapeles,No se encontró imagen en el portapapeles,No s'ha trobat cap imatge al porta-retalls,剪贴板中未找到图片,剪貼簿中未找到圖片,クリップボードに画像が見つかりませんでした,Nessuna immagine trovata negli appunti,Kein Bild in der Zwischenablage gefunden,Aucune image trouvée dans le presse-papiers,No image found in clipboard,No image found in clipboard,No image found in clipboard,No image found in clipboard,No image found in clipboard,No image found in clipboard,No s'ha trobat cap imatge al porta-retalls,ไม่พบรูปในคลิปบอร์ด,클립보드에서 이미지를 찾을 수 없습니다,1
failedToReadClipboard,Failed to read clipboard. Please make sure you have an image copied.,No se pudo leer el portapapeles. Asegúrate de tener una imagen copiada.,No se pudo leer el portapapeles. Asegúrate de tener una imagen copiada.,No s'ha pogut llegir el porta-retalls. Assegura't de tenir una imatge copiada.,无法读取剪贴板。请确保已复制图片。,無法讀取剪貼簿。請確保已複製圖片。,クリップボードの読み取りに失敗しました。画像がコピーされていることを確認してください。,Impossibile leggere gli appunti. Assicurati di avere un'immagine copiata.,"Konnte die Zwischenablage nicht lesen. Stelle sicher, dass ein Bild kopiert wurde.",Impossible de lire le presse-papiers. Assurez-vous qu'une image est copiée.,Failed to read clipboard. Please make sure you have an image copied.,Failed to read clipboard. Please make sure you have an image copied.,Failed to read clipboard. Please make sure you have an image copied.,Failed to read clipboard. Please make sure you have an image copied.,Failed to read clipboard. Please make sure you have an image copied.,Failed to read clipboard. Please make sure you have an image copied.,No s'ha pogut llegir el porta-retalls. Assegura't de tenir una imatge copiada.,ไม่สามารถอ่านคลิปบอร์ดได้ โปรดตรวจสอบว่ามีรูปถูกคัดลอกไว้,클립보드를 읽을 수 없습니다. 이미지가 복사되었는지 확인하세요.,1
pleaseDropImageFile,Please drop an image file,"Por favor, suelta un archivo de imagen","Por favor, suelta un archivo de imagen","Si us plau, deixa un fitxer d'imatge",请放下一个图片文件,請放下圖片檔案,画像ファイルをドロップしてください,"Per favore, rilascia un file immagine",Bitte lass eine Bilddatei fallen,Veuillez déposer un fichier image,Please drop an image file,Please drop an image file,Please drop an image file,Please drop an image file,Please drop an image file,Please drop an image file,"Si us plau, deixa un fitxer d'imatge",โปรดปล่อยไฟล์รูป,이미지 파일을 드롭하세요,1
clipboardError,Failed to copy image to clipboard,Error al copiar la imagen al portapapeles,Error al copiar la imagen al portapapeles,Error en copiar la imatge al porta-retalls,复制图片到剪贴板失败,複製圖片到剪貼簿失敗,画像をクリップボードにコピーできませんでした,Errore nel copiare l'immagine negli appunti,Fehler beim Kopieren des Bildes in die Zwischenablage,Échec de la copie de l'image dans le presse-papiers,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Error en copiar la imatge al porta-retalls,คัดลอกรูปไปยังคลิปบอร์ดไม่สำเร็จ,이미지를 클립보드에 복사하지 못했습니다,1
copyImageError,Failed to copy image to clipboard,Error al copiar la imagen al portapapeles,Error al copiar la imagen al portapapeles,Error en copiar la imatge al porta-retalls,复制图片到剪贴板失败,複製圖片到剪貼簿失敗,画像をクリップボードにコピーできませんでした,Errore nel copiare l'immagine negli appunti,Fehler beim Kopieren des Bildes in die Zwischenablage,Échec de la copie de l'image dans le presse-papiers,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Failed to copy image to clipboard,Error en copiar la imatge al porta-retalls,คัดลอกรูปไปยังคลิปบอร์ดไม่สำเร็จ,이미지를 클립보드에 복사하지 못했습니다,1
clickToChangeColor,Click in a color to edit it or drag it to change its position within the palette,Haz clic en un color para editarlo o arrástralo para cambiar su posición en la paleta,Toca un color para editarlo o arrástralo para cambiar su posición en la paleta,Fes clic a un color per editar-lo o arrossega'l per canviar la seva posició a la paleta,点击颜色进行编辑，或拖动以改变其在调色板中的位置,點選顏色進行編輯，或拖曳改變其在調色盤中的位置,色をクリックして編集するか、ドラッグしてパレット内の位置を変更してください,Clicca un colore per modificarlo o trascinalo per cambiare la sua posizione nella palette,"Klicke eine Farbe, um sie zu bearbeiten oder ziehe sie, um ihre Position in der Palette zu ändern",Cliquez une couleur pour la modifier ou faites-la glisser pour changer sa position dans la palette,Clique numa cor para editá-la ou arraste-a para alterar a sua posição na paleta,"Нажмите на цвет, чтобы изменить его, или перетащите, чтобы изменить его позицию в палитре",MT: Click in a color to edit it or drag it to change its position within the palette,Click in a kolor to edit it or drag it to change its position within the palette,Click in a renk to edit it or drag it to change its position within the palette,Click in a kolore to edit it or drag it to change its position within the palette,Fes clic a un color per editar-lo o arrossega'l per canviar la seva posició a la paleta,คลิกสีเพื่อแก้ไข หรือลากเพื่อเปลี่ยนตำแหน่งในพาเลท,색상을 클릭하여 편집하거나 드래그하여 팔레트 내 위치를 변경하세요,1
dropboxComingSoon,Dropbox integration coming soon!,¡Integración con Dropbox próximamente!,¡Integración con Dropbox próximamente!,Integració amb Dropbox pròximament!,Dropbox 集成即将推出！,Dropbox 整合即將推出！,Dropbox 統合は近日対応予定！,Integrazione con Dropbox in arrivo!,Dropbox-Integration kommt bald!,Intégration Dropbox bientôt disponible !,Dropbox integration coming soon!,Dropbox integration coming soon!,Dropbox integration coming soon!,Dropbox integration coming soon!,Dropbox integration coming soon!,Dropbox integration coming soon!,Integració amb Dropbox pròximament!,การผนวกรวม Dropbox เร็ๆ นี้,Dropbox 통합 준비 중입니다!,1
googleDriveComingSoon,Google Drive integration coming soon!,¡Integración con Google Drive próximamente!,¡Integración con Google Drive próximamente!,Integració amb Google Drive pròximament!,Google Drive 集成即将推出！,Google Drive 整合即將推出！,Google Drive 統合は近日対応予定！,Integrazione con Google Drive in arrivo!,Google Drive-Integration kommt bald!,Intégration Google Drive bientôt disponible !,Google Drive integration coming soon!,Google Drive integration coming soon!,Google Drive integration coming soon!,Google Drive integration coming soon!,Google Drive integration coming soon!,Google Drive integration coming soon!,Integració amb Google Drive pròximament!,การผนวกรวม Google Drive เร็ๆ นี้,Google Drive 통합 준비 중입니다!,1
selectCamera,Select camera,Seleccionar cámara,Seleccionar càmera,MT: Select camera,MT: Select camera,カメラ選択,MT: Select camera,Kamera auswählen,Sélectionner caméra,MT: Select camera,Select camera,Select camera,Select camera,Select camera,Select camera,Select camera,Select camera,เลือกกล้อง,카메라 선택,1
noCamerasDetected,"No cameras detected, please close and try again after connecting, activating and enabling a camera",No se detectaron cámaras; cierra y vuelve a intentarlo tras conectar y activar una cámara,No se detectaron cámaras; cierra y vuelve a intentarlo tras conectar y activar una cámara,No s'han detectat càmeres; tanca i torna a provar després de connectar i activar una càmera,未检测到相机；连接并启用相机后重试,未偵測到相機；連接並啟用相機後重試,カメラが検出されませんでした; 接続して有効にしてから再試行してください,Nessuna fotocamera rilevata; chiudi e riprova dopo aver collegato e attivato una fotocamera,"Keine Kameras erkannt; schließe und versuche es erneut, nachdem du eine Kamera angeschlossen und aktiviert hast",Aucune caméra détectée ; reconnectez et activez une caméra puis réessayez,"No cameras detected, please close and try again after connecting, activating and enabling a camera","No cameras detected, please close and try again after connecting, activating and enabling a camera","No cameras detected, please close and try again after connecting, activating and enabling a camera","No cameras detected, please close and try again after connecting, activating and enabling a camera","No cameras detected, please close and try again after connecting, activating and enabling a camera","No cameras detected, please close and try again after connecting, activating and enabling a camera",No s'han detectat càmeres; tanca i torna a provar després de connectar i activar una càmera,ไม่พบกล้อง; โปรดเชื่อมต่อ เปิดใช้งาน แล้วลองอีกครั้ง,카메라가 감지되지 않았습니다; 카메라를 연결하고 활성화한 후 다시 시도하세요,1
camera1,Camera 1,Cámara 1,Cámara 1,Càmera 1,相机 1,相機 1,カメラ 1,Fotocamera 1,Kamera 1,Caméra 1,Camera 1,Camera 1,Camera 1,Camera 1,Camera 1,Camera 1,Càmera 1,กล้อง 1,카메라 1,1
camera2,Camera 2,Cámara 2,Cámara 2,Càmera 2,相机 2,相機 2,カメラ 2,Fotocamera 2,Kamera 2,Caméra 2,Camera 2,Camera 2,Camera 2,Camera 2,Camera 2,Camera 2,Càmera 2,กล้อง 2,카메라 2,1
camera3,Camera 3,Cámara 3,Cámara 3,Càmera 3,相机 3,相機 3,カメラ 3,Fotocamera 3,Kamera 3,Caméra 3,Camera 3,Camera 3,Camera 3,Camera 3,Camera 3,Camera 3,Càmera 3,กล้อง 3,카메라 3,1
png8Indexed,PNG-8 Indexed,PNG-8 indexada,PNG-8 indexada,PNG-8 Indexat,PNG-8 索引,PNG-8 索引,PNG-8 インデックス,PNG-8 Indicizzato,PNG-8 Indiziert,PNG-8 Indexé,PNG-8 Indexado,PNG-8 Индексированный,PNG-8 Indexado,PNG-8 Indeksowany,PNG-8 İndeksli,PNG-8 Indexatua,PNG-8 Indexat,PNG-8 ดัชนี,MT: PNG-8 Indexed,1
zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,ampliado,увеличенный,ampliado,powiększony,yakınlaştırılmış,handitua,agrandit,ซูม,MT: zoomed,1
changePalette,Change Palette [P],Cambiar paleta [P],Cambiar paleta [P],Canviar paleta [P],更换调色板 [P],更換調色盤 [P],パレットを変更 [P],Cambia palette [P],Palette wechseln [P],Changer la palette [P],Alterar Paleta [P],Изменить палитру [P],Alterar Paleta [P],Zmień paletę [P],Paleti Değiştir [P],Aldatu Paleta [P],Cambiar Paleta [P],เปลี่ยนพาเลท [P],MT: Change Palette [P],1
